type,name,camo,mag_type,optics_rail,rareness,allows_muzzle_dev,frontrail_devices,has_side_rail,has_int_toprail,balanced,high_rof,silenced,hi_cap_mag,powerful_cartridge,raw_score,is_starting
MG,hlc_lmg_m60,nocamo,M240,None,0,0,2,0,0,0,0,0,0,0,,1
MG,CUP_lmg_M60E4_desert,desert,M240,RIS,2,0,6,1,1,0,0,0,0,0,,
MG,hlc_lmg_M60E4,nocamo,M240,RIS,2,0,6,1,1,0,0,0,0,0,,
MG,CUP_lmg_M60E4_jungle,woodland,M240,RIS,2,0,6,1,1,0,0,0,0,0,,
Rifle,CUP_arifle_IMI_Romat_railed,nocamo,FAL,RIS,0,1,0,1,1,0,0,0,0,0,,
Marksman,CUP_SKS_rail,nocamo,SKS,RIS,0,0,0,0,0,0,0,0,0,0,,1
Marksman,CUP_srifle_SVD,nocamo,SVD,Dovetail,0,1,0,0,0,0,0,0,0,0,,
Marksman,CUP_srifle_SVD_des,desert,SVD,Dovetail,0,1,0,0,0,0,0,0,0,0,,
Marksman,CUP_srifle_SVD_des_top_rail,desert,SVD,RIS,0,1,0,0,0,0,0,0,0,0,,
Marksman,CUP_srifle_SVD_top_rail,nocamo,SVD,RIS,0,1,0,0,0,0,0,0,0,0,,
Marksman,CUP_srifle_SVD_wdl,woodland,SVD,Dovetail,0,1,0,0,0,0,0,0,0,0,,
Marksman,CUP_srifle_SVD_wdl_top_rail,woodland,SVD,RIS,0,1,0,0,0,0,0,0,0,0,,
Carbine,hlc_rifle_Colt727,nocamo,AR15,RIS,2,1,0,0,0,0,1,0,0,0,,
Carbine,hlc_wp_mod733,nocamo,AR15,RIS,2,1,0,0,0,0,1,0,0,0,,
Rifle,hlc_rifle_c1A1,nocamo,FAL,FAL,0,1,0,0,0,0,0,0,0,0,,
Carbine,hlc_rifle_SLRchopmod,nocamo,FAL,FAL,0,1,4,0,0,0,0,0,0,1,,
Rifle,hlc_rifle_FAL5000,nocamo,FAL,FAL,0,1,0,0,0,0,0,0,0,0,,1
Rifle,hlc_rifle_FAL5000Rail,nocamo,FAL,RIS,0,1,0,0,1,0,0,0,0,0,,
Rifle,hlc_rifle_FAL5061,nocamo,FAL,FAL,0,1,0,0,0,0,0,0,0,0,,
Rifle,hlc_rifle_FAL5061Rail,nocamo,FAL,RIS,0,1,0,0,1,0,0,0,0,0,,
Rifle,CUP_arifle_FNFAL5061_wooden_railed,nocamo,FAL,RIS,0,1,0,1,1,0,0,0,0,0,,
Rifle,hlc_rifle_LAR,nocamo,FAL,FAL,0,1,0,0,0,0,0,0,0,0,,
Rifle,hlc_rifle_STG58F,nocamo,FAL,RIS,0,1,0,0,1,0,0,0,0,0,,
Rifle,CUP_arifle_DSA_SA58,nocamo,FAL,RIS,3,1,1,1,1,0,1,0,0,0,,
Carbine,hlc_rifle_hk51,nocamo,G3,G3,3,1,0,0,0,0,1,0,0,1,,
Marksman,hlc_rifle_g3sg1,nocamo,G3,G3,0,1,2,0,0,0,0,0,0,0,,
Marksman,hlc_rifle_g3sg1ris,nocamo,G3,RIS,0,1,2,0,1,0,0,0,0,0,,
Rifle,hlc_rifle_hk33a2,nocamo,HK33,G3,1,1,0,0,0,0,0,0,0,0,,
Rifle,hlc_rifle_hk33a2RIS,nocamo,HK33,RIS,1,1,0,1,1,0,0,0,0,0,,
RifleGL,hlc_rifle_hk33a2RIS_GL,nocamo,HK33,RIS,1,1,0,1,1,0,0,0,0,0,,
Carbine,hlc_rifle_hk33ka3,nocamo,HK33,G3,1,1,0,0,0,0,0,0,0,0,,
Carbine,hlc_rifle_hk53,nocamo,HK33,G3,1,1,0,0,0,0,0,0,0,1,,
Carbine,hlc_rifle_hk53RAS,nocamo,HK33,RIS,1,1,0,1,1,0,0,0,0,1,,
SMG,hlc_smg_mp5a2,nocamo,MP5,RIS,1,1,0,0,1,0,0,0,0,0,,
MG,hlc_lmg_mg42kws_b,black,MG42,RIS,0,0,2,1,1,0,1,0,0,0,,
MG,hlc_lmg_mg42kws_g,woodland,MG42,RIS,0,0,2,1,1,0,1,0,0,0,,
MG,hlc_lmg_MG42KWS_t,desert,MG42,RIS,0,0,2,1,1,0,1,0,0,0,,
Rifle,hlc_rifle_g3a3v,nocamo,G3,G3,0,1,0,0,0,0,0,0,0,0,,
Rifle,hlc_rifle_g3a3ris,nocamo,G3,RIS,0,1,0,0,1,0,0,0,0,0,,
Rifle,CUP_arifle_G3A3_ris_vfg,nocamo,G3,RIS,0,1,5,1,1,0,0,0,0,0,,
Carbine,hlc_rifle_g3ka4,nocamo,G3,RIS,1,1,1,1,1,0,0,0,0,1,,
CarbineGL,HLC_Rifle_g3ka4_GL,nocamo,G3,RIS,1,1,0,1,1,0,0,0,0,1,,
Pistol,CUP_hgun_Browning_HP,nocamo,HP,None,0,1,0,0,0,0,0,0,1,0,,
Pistol,CUP_hgun_CZ75,nocamo,CZ75,None,0,1,0,0,0,0,0,0,1,0,,
Pistol,CUP_hgun_M9,nocamo,M9,None,1,1,0,0,0,0,0,0,1,0,,
Pistol,CUP_hgun_Mac10,nocamo,MAC10,None,1,1,0,0,0,0,1,0,1,0,,
Pistol,CUP_hgun_MicroUzi,nocamo,UZI,None,1,1,0,0,0,0,1,0,1,0,,
Pistol,rhs_weap_tt33,nocamo,TT33,None,0,0,0,0,0,0,0,0,0,0,,1
Pistol,CUP_hgun_TEC9_FA,nocamo,TEC9,None,1,0,0,0,0,0,1,0,1,0,,
Pistol,rhs_weap_makarov_pm,nocamo,PM,None,0,0,0,0,0,0,0,0,0,0,,1
Pistol,rhs_weap_savz61_folded,nocamo,VZ61,None,0,1,0,0,0,0,1,0,1,0,,
Pistol,rhsusf_weap_m1911a1,nocamo,M1911,None,0,0,0,0,0,0,0,0,0,0,,1
LAT,rhs_weap_rpg75,nocamo,None,None,0,0,0,0,0,0,0,0,0,0,25,1
HAT,CUP_launch_Metis,nocamo,Metis,None,0,0,0,0,0,0,0,0,0,0,0.2,
LAT,CUP_launch_RPG18,nocamo,None,None,0,0,0,0,0,0,0,0,0,0,20,
HAT,CUP_launch_M47,nocamo,Dragon,None,0,0,0,0,0,0,0,0,0,0,1,
LAT,CUP_launch_M72A6,nocamo,None,None,0,0,0,0,0,0,0,0,0,0,15,
HAT,rhs_weap_rpg7,nocamo,RPG7,RPG7,0,0,0,0,0,0,0,0,0,0,6,
LAT,rhs_weap_m72a7,nocamo,None,None,0,0,0,0,0,0,0,0,0,0,12,
AA,CUP_launch_9K32Strela,nocamo,Strela,None,0,0,0,0,0,0,0,0,0,0,5,
